thermostat,id,name,temp,setpoint,time
EMEA_ZONE,7072444,Slp. R&M,22.5,5.0,2022-05-06 17:28:13.052883
EMEA_ZONE,7073860,Woonkamer,22.5,5.0,2022-05-06 17:28:13.052900
EMEA_ZONE,7162110,Slp. Harvey,24.0,5.0,2022-05-06 17:28:13.052906
EMEA_ZONE,7337783,Logeerkamer,21.5,5.0,2022-05-06 17:28:13.052910
EMEA_ZONE,7403694,Badkamer,21.5,25.0,2022-05-06 17:28:13.052915
EMEA_ZONE,7403695,1e overig,22.5,18.0,2022-05-06 17:28:13.052919
EMEA_ZONE,7406169,Zolder,21.5,5.0,2022-05-06 17:28:13.052924
EMEA_ZONE,7403678,?,,62.0,2022-05-06 17:28:13.052929
EMEA_ZONE,7072444,Slp. R&M,22.5,5.0,2022-05-06 17:43:15.930257
EMEA_ZONE,7073860,Woonkamer,22.5,5.0,2022-05-06 17:43:15.930290
EMEA_ZONE,7162110,Slp. Harvey,24.0,5.0,2022-05-06 17:43:15.930301
EMEA_ZONE,7337783,Logeerkamer,21.5,5.0,2022-05-06 17:43:15.930309
EMEA_ZONE,7403694,Badkamer,22.0,25.0,2022-05-06 17:43:15.930317
EMEA_ZONE,7403695,1e overig,22.5,18.0,2022-05-06 17:43:15.930325
EMEA_ZONE,7406169,Zolder,21.5,5.0,2022-05-06 17:43:15.930333
EMEA_ZONE,7403678,?,,62.0,2022-05-06 17:43:15.930340
EMEA_ZONE,7072444,Slp. R&M,22.5,5.0,2022-05-06 17:58:24.461293
EMEA_ZONE,7073860,Woonkamer,22.5,5.0,2022-05-06 17:58:24.461327
EMEA_ZONE,7162110,Slp. Harvey,24.0,5.0,2022-05-06 17:58:24.461337
EMEA_ZONE,7337783,Logeerkamer,21.5,5.0,2022-05-06 17:58:24.461345
EMEA_ZONE,7403694,Badkamer,22.0,25.0,2022-05-06 17:58:24.461353
EMEA_ZONE,7403695,1e overig,22.5,18.0,2022-05-06 17:58:24.461360
EMEA_ZONE,7406169,Zolder,22.0,5.0,2022-05-06 17:58:24.461367
EMEA_ZONE,7403678,?,,62.0,2022-05-06 17:58:24.461375
EMEA_ZONE,7072444,Slp. R&M,22.5,5.0,2022-05-06 18:13:27.242930
EMEA_ZONE,7073860,Woonkamer,22.5,5.0,2022-05-06 18:13:27.242963
EMEA_ZONE,7162110,Slp. Harvey,24.0,5.0,2022-05-06 18:13:27.242974
EMEA_ZONE,7337783,Logeerkamer,21.5,5.0,2022-05-06 18:13:27.242982
EMEA_ZONE,7403694,Badkamer,22.0,25.0,2022-05-06 18:13:27.242990
EMEA_ZONE,7403695,1e overig,22.5,18.0,2022-05-06 18:13:27.242998
EMEA_ZONE,7406169,Zolder,22.0,5.0,2022-05-06 18:13:27.243005
EMEA_ZONE,7403678,?,,62.0,2022-05-06 18:13:27.243013
