thermostat,id,name,temp,setpoint,status,mode,time
EMEA_ZONE,7403695,1e overig,19.13,16.5,Scheduled,Off,2025-12-14 11:29:54.051077
EMEA_ZONE,7403694,Badkamer,17.72,18.5,Scheduled,Off,2025-12-14 11:29:54.051083
EMEA_ZONE,7337783,Logeerkamer,17.62,15.0,Scheduled,Off,2025-12-14 11:29:54.051086
EMEA_ZONE,7162110,Slp. Harvey,19.15,16.0,Scheduled,Off,2025-12-14 11:29:54.051088
EMEA_ZONE,7072444,Slp. R&M,19.15,16.0,Scheduled,Off,2025-12-14 11:29:54.051090
EMEA_ZONE,7073860,Woonkamer,20.77,20.5,Scheduled,Off,2025-12-14 11:29:54.051092
EMEA_ZONE,7406169,Zolder,19.61,15.0,Scheduled,Off,2025-12-14 11:29:54.051093
EMEA_ZONE,7403695,1e overig,19.14,16.5,Scheduled,Off,2025-12-14 11:44:55.090088
EMEA_ZONE,7403694,Badkamer,17.75,18.5,Scheduled,Off,2025-12-14 11:44:55.090129
EMEA_ZONE,7337783,Logeerkamer,17.57,15.0,Scheduled,Off,2025-12-14 11:44:55.090136
EMEA_ZONE,7162110,Slp. Harvey,19.18,16.0,Scheduled,Off,2025-12-14 11:44:55.090143
EMEA_ZONE,7072444,Slp. R&M,19.18,16.0,Scheduled,Off,2025-12-14 11:44:55.090149
EMEA_ZONE,7073860,Woonkamer,20.78,20.5,Scheduled,Off,2025-12-14 11:44:55.090154
EMEA_ZONE,7406169,Zolder,19.61,15.0,Scheduled,Off,2025-12-14 11:44:55.090160
